gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,Churn
1,1,2,0,0.154929577,0,0,3,3,0,1
2,0,2,0,0.23943662,0,0,2,3,1,1
1,0,2,1,0.830985915,2,0,0,0,3,1
1,1,2,2,0.929577465,1,3,1,1,0,1
1,0,0,2,0.197183099,2,2,0,2,1,1
0,1,0,0,0.211267606,0,3,0,3,3,0
2,1,2,2,0.295774648,2,3,1,1,2,0
1,1,2,0,0.873239437,1,3,2,1,2,1
0,0,2,2,0.422535211,2,0,3,0,1,0
1,1,2,0,0.507042254,0,0,1,2,1,0
1,1,0,0,0.070422535,2,3,0,1,2,1
0,0,2,2,0.112676056,0,3,2,3,0,1
0,1,0,0,0.718309859,0,1,1,2,1,1
1,0,1,2,0.85915493,2,2,1,1,1,1
0,1,1,2,0.802816901,1,0,1,0,1,1
0,0,1,2,0.507042254,2,2,2,0,1,1
1,1,0,0,0.169014085,0,0,1,3,1,0
1,1,0,0,0.436619718,2,1,3,3,1,0
0,1,2,0,0.112676056,0,3,0,2,3,0
1,1,0,2,0.676056338,1,3,1,3,1,1
1,1,2,2,0.507042254,0,0,1,3,0,1
0,0,0,0,0.422535211,0,0,1,2,2,1
1,0,0,2,0.422535211,0,0,0,0,0,1
1,1,2,2,0.816901408,0,0,2,2,0,1
0,1,2,0,0.507042254,2,1,0,0,3,0
0,1,0,0,0.253521127,2,3,1,0,3,0
2,0,0,2,0.873239437,0,2,2,0,0,1
1,0,2,2,0.507042254,0,3,2,3,0,0
0,1,0,0,0.61971831,2,3,1,0,2,0
0,1,2,0,0.591549296,1,1,1,2,0,0
0,1,2,2,0,2,0,3,2,2,0
0,1,2,2,0.845070423,1,1,0,2,3,0
1,1,0,2,0.028169014,0,1,0,1,3,0
0,0,0,0,0.605633803,1,1,1,1,3,1
2,1,2,2,0.084507042,0,3,3,3,1,0
2,1,1,2,0.450704225,0,0,0,1,0,1
0,1,1,2,0.112676056,1,3,1,0,0,0
1,0,2,2,0.408450704,2,1,2,1,1,1
0,0,1,2,0.507042254,0,1,1,3,0,1
0,1,2,2,0.774647887,0,3,1,0,1,1
0,1,0,0,0.422535211,0,3,1,0,1,0
1,0,2,0,1,0,0,3,0,1,0
1,1,0,0,0.873239437,2,1,1,1,1,1
0,0,0,2,0.690140845,2,3,1,1,2,1
2,1,0,0,0,2,3,1,1,1,0
1,0,0,2,0.253521127,2,3,0,1,0,1
1,1,0,2,0.887323944,2,3,1,0,1,0
1,0,2,2,0.732394366,0,1,1,3,3,1
1,0,2,2,0.070422535,0,2,0,1,0,0
2,1,0,2,0.225352113,2,2,1,3,1,0
0,1,2,0,0.507042254,2,3,2,0,1,0
2,0,2,1,1,0,0,1,2,1,1
1,0,2,0,0.76056338,0,1,3,3,3,0
0,0,2,2,0.070422535,2,3,0,1,0,1
0,1,2,0,0.971830986,2,2,0,1,3,1
0,1,2,2,0.943661972,0,0,0,2,3,0
0,1,2,0,0.549295775,2,1,0,1,3,1
1,1,0,0,0.915492958,2,0,3,3,0,1
0,1,2,0,0.112676056,0,1,1,3,3,1
0,1,2,0,0.14084507,0,0,1,3,2,1
1,1,2,0,0.267605634,0,3,2,3,0,1
2,0,0,0,0.591549296,2,1,0,1,1,1
0,1,0,2,0.802816901,0,0,1,0,3,0
0,1,2,2,0.352112676,2,2,2,1,3,1
0,1,0,1,0.507042254,0,0,1,2,3,1
0,1,0,2,0.492957746,2,3,2,0,0,0
0,0,2,1,0.76056338,2,1,2,0,0,0
0,0,0,1,0.070422535,0,3,1,3,2,1
1,1,2,2,0.028169014,1,0,0,3,3,1
0,1,0,2,0.507042254,2,3,0,1,0,0
0,1,2,2,0.887323944,0,3,2,0,2,0
1,0,1,2,0.802816901,2,1,0,0,0,0
1,0,2,2,0.802816901,0,3,1,2,2,1
1,0,2,2,0.23943662,2,3,2,2,2,0
1,0,0,2,0.309859155,0,0,1,0,3,1
0,0,2,2,0.394366197,0,0,1,1,0,0
0,1,2,2,0.309859155,2,1,0,0,1,1
0,0,0,0,0.492957746,0,1,1,1,0,0
0,0,2,2,0.971830986,0,1,2,0,0,0
0,1,2,2,0.070422535,2,0,2,3,1,1
0,0,0,0,0.464788732,0,3,1,3,2,0
1,0,2,0,0.605633803,0,1,3,0,1,1
0,0,0,2,0.605633803,0,2,3,0,0,0
2,1,2,2,0.507042254,1,0,0,2,0,1
1,0,0,2,0.718309859,2,1,0,1,0,1
0,1,0,1,0.577464789,0,0,0,3,0,1
1,1,2,2,0.338028169,0,3,1,1,3,1
0,0,0,0,0.535211268,0,0,3,3,0,1
1,1,2,1,0.535211268,2,0,2,3,2,0
0,0,2,0,0.154929577,2,3,2,1,1,1
1,0,0,0,0.14084507,0,1,2,2,3,1
0,1,2,1,0.028169014,0,0,2,3,1,0
0,0,2,2,0.295774648,2,3,0,0,0,0
0,1,0,1,0.042253521,0,1,1,1,0,1
2,1,2,1,0.098591549,0,3,1,1,0,0
0,1,2,0,0.183098592,1,0,0,3,3,1
1,1,0,0,0.183098592,0,3,2,1,0,0
1,1,2,0,0.211267606,2,1,3,3,1,0
2,0,2,2,0.436619718,2,1,1,3,1,1
0,1,0,0,0.507042254,2,1,2,1,3,1
1,1,1,0,0.211267606,2,3,1,3,0,0
0,0,2,2,0.718309859,2,3,0,0,0,1
0,0,0,2,0.253521127,1,1,1,2,0,0
1,1,2,2,0.957746479,2,1,0,1,3,1
1,1,2,2,0.154929577,0,1,2,3,3,0
0,0,0,0,0.056338028,2,0,1,1,0,1
1,1,0,0,0.577464789,1,0,2,1,1,1
0,0,2,0,0.225352113,1,0,2,0,3,0
0,0,2,1,1,2,1,2,0,3,1
0,1,0,0,0.507042254,0,0,1,1,1,0
2,0,2,0,0.211267606,0,1,2,3,1,1
0,1,2,0,0.211267606,0,3,1,0,0,0
1,1,2,0,0.577464789,1,1,2,0,0,1
1,1,0,0,0.028169014,1,1,0,0,0,1
0,0,2,2,0.309859155,0,0,1,3,0,0
0,1,2,0,0.38028169,2,3,0,1,3,0
1,0,0,2,0.61971831,0,3,0,2,1,1
1,1,0,2,0.943661972,2,3,1,0,0,0
2,1,0,2,0.323943662,0,2,1,2,1,1
1,0,2,2,0.253521127,0,0,1,2,0,0
0,1,2,0,0.549295775,2,0,2,0,1,1
1,1,0,2,0.633802817,0,0,2,3,0,0
0,0,2,2,0.549295775,2,2,0,3,1,1
2,0,2,0,0.85915493,2,1,1,0,0,0
0,0,2,2,0.23943662,2,3,0,3,3,1
2,1,2,0,0.154929577,0,0,2,2,2,0
1,0,0,0,0.183098592,0,3,3,3,1,0
0,0,0,0,0.845070423,0,2,0,1,2,0
1,1,1,0,0.154929577,2,2,1,1,3,1
0,0,0,2,0.366197183,2,3,1,3,2,0
2,1,2,0,0.070422535,0,2,0,1,0,0
0,1,2,2,0.450704225,2,1,2,0,1,0
1,0,0,2,0.690140845,1,1,0,2,1,1
2,1,0,0,0.154929577,2,3,2,3,1,1
1,0,2,2,0.788732394,0,0,0,2,1,0
0,1,2,0,0.507042254,1,1,0,1,3,1
1,0,2,2,0.169014085,0,1,1,3,3,0
0,0,2,1,1,2,1,0,3,0,0
0,1,0,2,0.028169014,1,3,2,0,2,1
0,1,0,2,0.887323944,0,3,0,0,0,0
1,0,2,0,0.802816901,1,0,3,1,3,0
2,0,2,0,0.042253521,0,0,2,1,0,0
1,1,0,2,0.61971831,2,3,0,1,0,1
0,0,2,2,0.507042254,0,3,0,3,1,1
1,1,0,2,0.492957746,1,3,0,3,3,0
0,0,2,2,0.309859155,0,1,0,3,3,0
1,1,0,0,0.253521127,2,3,2,3,0,1
1,1,2,2,0.549295775,0,0,2,0,3,1
0,1,2,2,1,2,1,2,1,2,1
1,0,2,2,0.211267606,0,3,2,1,0,1
1,0,0,0,0.802816901,2,0,0,0,3,0
0,0,0,2,0.23943662,0,3,2,0,1,1
1,0,2,0,0.492957746,0,0,0,3,3,0
1,0,2,1,0.323943662,2,1,1,1,1,0
1,1,2,2,0,0,2,0,1,2,0
2,1,2,2,0,0,0,0,0,2,1
1,1,0,2,0.887323944,0,0,2,1,3,1
0,1,0,0,0.507042254,0,1,2,0,0,1
1,1,0,0,0.492957746,2,1,2,1,2,1
1,1,2,2,0.23943662,2,0,1,2,2,1
1,1,2,1,0.211267606,2,2,0,3,3,0
0,0,0,2,0.225352113,2,3,1,2,0,1
1,1,2,2,0.323943662,2,3,0,3,0,0
1,0,0,1,0.943661972,2,1,0,0,1,0
0,1,0,2,0.014084507,2,2,1,2,0,1
1,1,0,2,0.126760563,2,2,1,1,0,1
0,0,0,2,0.732394366,0,3,0,3,1,0
0,1,2,0,0.704225352,0,1,1,3,2,1
1,0,0,0,0.957746479,2,2,3,0,3,0
2,1,2,0,0.183098592,2,2,0,3,1,0
1,0,0,2,0.915492958,2,0,2,1,1,1
0,1,0,2,0.732394366,0,1,3,1,0,0
0,0,0,2,0.887323944,1,3,2,2,1,0
1,0,1,0,1,2,0,1,1,3,1
0,1,1,2,0.507042254,2,2,2,3,0,0
0,1,2,0,0.85915493,2,3,1,3,0,1
0,0,2,2,0.507042254,0,3,0,0,0,1
0,1,2,0,0.676056338,2,1,0,3,3,0
0,0,0,2,0.943661972,0,0,0,0,3,0
1,1,2,1,0.450704225,0,0,0,3,3,1
0,0,2,0,0.295774648,0,1,1,3,1,0
1,1,0,0,0.971830986,2,3,2,1,1,1
0,0,2,0,0.450704225,0,0,0,3,0,0
1,1,2,2,0.38028169,2,1,1,0,0,0
1,0,2,1,0.042253521,2,2,1,1,0,1
0,0,2,0,0.507042254,2,1,0,3,1,0
0,1,0,2,0.676056338,2,0,0,1,3,1
0,1,1,2,0.507042254,2,0,1,1,3,1
1,0,2,0,0.478873239,1,0,2,1,0,1
2,0,0,2,0.535211268,2,1,1,0,3,0
1,0,2,0,0.126760563,2,1,0,0,1,1
1,0,2,0,1,0,3,0,2,3,0
1,1,2,0,0.957746479,2,0,0,1,0,0
0,0,0,2,0.309859155,0,2,2,3,0,0
